timestamp_ms,letter_shown,button_pressed,correct_press,missed_opportunity,vibration_event,vibration_duration_ms,vibration_count,progress,score,time_left_ms,round_id,time_diff
2819670,M,1,1,0,1,856124,0,,2,19185,5,3780.0
2827310,T,1,1,0,1,863765,0,T,2,11545,5,7640.0
2832856,E,1,1,0,1,869311,0,TE,2,5999,5,5546.0
2836509,A,1,1,0,1,872964,0,TEA,2,2346,5,3653.0
2837223,M,1,1,0,1,873678,0,,3,1632,5,714.0
3219955,T,1,1,0,1,1256410,0,T,0,59999,6,382732.0
3220418,T,1,0,0,1,1256873,0,,0,59536,6,463.0
3221609,E,1,0,0,1,1258064,0,,0,58345,6,1191.0
3226661,A,1,0,0,1,1263116,0,,0,53293,6,5052.0
3228760,T,0,1,1,1,1265115,0,,0,51194,6,2099.0
3230032,T,0,1,1,1,1266387,0,,0,49922,6,1272.0
3230487,M,1,0,0,1,1266942,0,,0,49467,6,455.0
3232314,T,1,1,0,1,1268769,0,T,0,47640,6,1827.0
3234186,E,1,1,0,1,1270641,0,TE,0,45768,6,1872.0
3240555,A,1,1,0,1,1277009,0,TEA,0,39399,6,6369.0
3243152,M,1,1,0,1,1279607,0,,1,36802,6,2597.0
3243707,T,1,1,0,1,1280162,0,T,1,36247,6,555.0
3245806,E,0,1,1,1,1282161,0,T,1,34148,6,2099.0
3249395,E,1,1,0,1,1285850,0,TE,1,30559,6,3589.0
3256490,A,1,1,0,1,1292945,0,TEA,1,23464,6,7095.0
3257771,M,1,1,0,1,1294226,0,,2,22183,6,1281.0
3260825,T,1,1,0,1,1297279,0,T,2,19129,6,3054.0
3262060,E,1,1,0,1,1298515,0,TE,2,17894,6,1235.0
3265249,A,1,1,0,1,1301704,0,TEA,2,14705,6,3189.0
3267121,M,1,1,0,1,1303576,0,,3,12833,6,1872.0
3268312,T,1,1,0,1,1304767,0,T,3,11642,6,1191.0
3270834,E,1,1,0,1,1307289,0,TE,3,9120,6,2522.0
3272733,A,1,1,0,1,1309188,0,TEA,3,7221,6,1899.0
3273974,M,1,1,0,1,1310429,0,,4,5980,6,1241.0
3274776,T,0,1,1,1,1311131,0,,4,5178,6,802.0
3274776,N,1,0,0,1,1311233,0,,4,5178,6,0.0
3275842,E,1,0,0,1,1312297,0,,4,4112,6,1066.0
3278224,A,1,0,0,1,1314679,0,,4,1730,6,2382.0
3278895,M,1,0,0,1,1315349,0,,4,1059,6,671.0
3422557,N,1,0,0,1,1459012,0,,0,59998,7,143662.0
3424201,T,1,1,0,1,1460656,0,T,0,58354,7,1644.0
3425482,E,1,1,0,1,1461937,0,TE,0,57073,7,1281.0
3434985,A,1,1,0,1,1471440,0,TEA,0,47570,7,9503.0
3435676,M,1,1,0,1,1472131,0,,1,46879,7,691.0
3440637,T,1,1,0,1,1477092,0,T,1,41918,7,4961.0
3441918,E,1,1,0,1,1478373,0,TE,1,40637,7,1281.0
3453419,A,1,1,0,1,1489874,0,TEA,1,29136,8,11501.0
3453974,M,1,1,0,1,1490429,0,,2,28581,8,555.0
3454529,T,1,1,0,1,1490984,0,T,2,28026,8,555.0
3465394,E,1,1,0,1,1501849,0,TE,2,17161,9,10865.0
3467947,A,1,1,0,1,1504402,0,TEA,2,14608,9,2553.0
3471091,M,1,1,0,1,1507546,0,,3,11464,9,3144.0
3472951,T,1,1,0,1,1509406,0,T,3,9604,9,1860.0
3479105,E,1,1,0,1,1515560,0,TE,3,3450,9,6154.0
